raw_name,first_name,last_name,f_count,m_count
A HANNAN,A,HANNAN,0,50
A JAY,A,JAY,0,50
A K I L,A,K I L,0,50
A LAH,A,LAH,50,0
A RIN,A,RIN,50,0
A S M,A,S M,0,50
AA ISHAH,AA,ISHAH,50,0
AABAN,AABAN,,0,50
AABAS,AABAS,,0,29
AABEER,AABEER,,50,0
AABEL,AABEL,,0,50
AABHA,AABHA,,29,0
AABIA,AABIA,,29,0
AABID,AABID,,0,50
AABIDA,AABIDA,,50,0
AABIDAMMAR,AABIDAMMAR,,0,29
AABIR,AABIR,,0,50
AABIS,AABIS,,0,50
AABISH,AABISH,,50,0
AABRIELLA,AABRIELLA,,29,0
AAD,AAD,,49,2
AAD TY,AAD,TY,0,50
AADA,AADA,,1,0
AADAM,AADAM,,0,51
AADAN,AADAN,,0,50
AADARSH,AADARSH,,0,50
AADEN,AADEN,,0,50
AADESH,AADESH,,0,50
AADHAM,AADHAM,,0,29
AADHARSH,AADHARSH,,0,50
AADHAV,AADHAV,,0,29
AADHAVAN,AADHAVAN,,0,29
AADHEEN,AADHEEN,,0,50
AADHI,AADHI,,0,50
AADHIL,AADHIL,,0,50
AADHIRA,AADHIRA,,50,0
AADHITEYA,AADHITEYA,,0,50
AADHITHYA,AADHITHYA,,0,29
AADHYA,AADHYA,,30,0
AADHYAN,AADHYAN,,0,29
AADI,AADI,,0,50
AADIL,AADIL,,0,50
AADILA,AADILA,,50,0
AADIN,AADIN,,0,29
AADINEER,AADINEER,,0,50
AADISH,AADISH,,0,29
AADISON,AADISON,,29,0
AADIT,AADIT,,0,50
AADITH,AADITH,,0,29
AADITRI,AADITRI,,29,0
AADITYA,AADITYA,,0,50
AADITYARAM,AADITYARAM,,0,29
AADIV,AADIV,,0,29
AADJE,AADJE,,3,0
AADL,AADL,,0,50
AADLE,AADLE,,0,50
AADON,AADON,,0,50
AADRA,AADRA,,50,0
AADRIAN,AADRIAN,,0,50
AADRIENNE,AADRIENNE,,50,0
AADRIT,AADRIT,,0,29
AADU,AADU,,0,2
AADVIK,AADVIK,,0,29
AADVIKA,AADVIKA,,50,0
AADYA,AADYA,,50,0
AADYN,AADYN,,0,50
AAEEDAH,AAEEDAH,,29,0
AAEESHA,AAEESHA,,29,0
AAELLA,AAELLA,,29,0
AAEMA,AAEMA,,50,0
AAEN,AAEN,,0,50
AAESHA,AAESHA,,50,0
AAF,AAF,,3,0
AAFAF,AAFAF,,50,0
AAFARIDA,AAFARIDA,,50,0
AAFIA,AAFIA,,50,0
AAFIYA,AAFIYA,,50,0
AAFIYAH,AAFIYAH,,29,0
AAFKE,AAFKE,,3,0
AAFKEA,AAFKEA,,4,0
AAFKO,AAFKO,,0,3
AAFREEN,AAFREEN,,50,0
AAFRIN,AAFRIN,,29,0
AAGAM,AAGAM,,0,50
AAGAT,AAGAT,,0,29
AAGE,AAGE,,0,53
AAGJE,AAGJE,,25,0
AAGMAN,AAGMAN,,0,50
AAGMANPAL,AAGMANPAL,,0,50
AAGOT,AAGOT,,30,0
AAGOTH,AAGOTH,,1,0
AAGYADEEP,AAGYADEEP,,50,0
AAHAAN,AAHAAN,,0,50
AAHAD,AAHAD,,0,50
AAHAN,AAHAN,,0,50
AAHANA,AAHANA,,50,0
AAHIL,AAHIL,,0,50
AAHLIAH,AAHLIAH,,50,0
AAHLIANA,AAHLIANA,,50,0
AAHLIYA,AAHLIYA,,50,0
AAHLIYAH,AAHLIYAH,,29,0
AAHNA,AAHNA,,50,0
AAHRON,AAHRON,,0,50
AAIANA,AAIANA,,50,0
